positiveSamples/100930-gray-1469.png 1 376 392 12 12 
positiveSamples/100931-gray-1469.png 1 370 381 32 32 
positiveSamples/100932-gray-1469.png 1 366 368 54 54 
positiveSamples/100933-gray-1469.png 1 358 346 82 82 
positiveSamples/100934-gray-1469.png 1 348 335 116 116 
positiveSamples/100935-gray-1469.png 1 354 332 130 130 
positiveSamples/100936-gray-1469.png 1 341 311 152 152 
positiveSamples/100931-gray-1470.png 1 281 443 8 8 
positiveSamples/100932-gray-1470.png 1 279 439 14 14 
positiveSamples/100933-gray-1470.png 1 271 426 32 32 
positiveSamples/100934-gray-1470.png 1 264 410 50 50 
positiveSamples/100935-gray-1470.png 1 254 395 66 66 
positiveSamples/100936-gray-1470.png 1 245 381 82 82 
positiveSamples/100931-gray-1471.png 1 449 447 26 26 
positiveSamples/100932-gray-1471.png 1 455 445 38 38 
positiveSamples/100933-gray-1471.png 1 454 429 70 70 
positiveSamples/100931-gray-1472.png 1 165 409 14 14 
positiveSamples/100932-gray-1472.png 1 158 394 34 34 
positiveSamples/100933-gray-1472.png 1 148 381 54 54 
positiveSamples/100934-gray-1472.png 1 140 372 70 70 
positiveSamples/100935-gray-1472.png 1 133 364 84 84 
positiveSamples/100936-gray-1472.png 1 121 346 104 104 
positiveSamples/100931-gray-1473.png 1 219 191 10 10 
positiveSamples/100932-gray-1473.png 1 208 180 28 28 
positiveSamples/100933-gray-1473.png 1 201 173 42 42 
positiveSamples/100932-gray-1474.png 1 421 400 14 14 
positiveSamples/100933-gray-1474.png 1 416 393 26 26 
positiveSamples/100934-gray-1474.png 1 409 382 40 40 
positiveSamples/102836-gray-5342.png 1 376 390 20 20 
positiveSamples/102837-gray-5342.png 1 373 382 32 32 
positiveSamples/102838-gray-5342.png 1 365 374 48 48 
positiveSamples/102839-gray-5342.png 1 362 363 60 60 
positiveSamples/102840-gray-5342.png 1 351 348 86 86 
positiveSamples/102841-gray-5342.png 1 335 332 112 112 
